,soundID,date_run,followingCount,followerCount,heartCount,videoCount,diggCount,heart
6926430076854652165,6926430057246280453,05/04/21,2420,68300,1100000,336,47300,1100000
6951867684590046470,6926430057246280453,05/04/21,16,632200,3600000,33,2021,3600000
6954152210557193477,6926430057246280453,05/04/21,35,211000,6100000,649,861,6100000
6957092763384974597,6926430057246280453,05/04/21,737,56200,2700000,725,15000,2700000
6956976175952530693,6926430057246280453,05/04/21,41,59300000,730500000,280,268,730500000
6955921340427685126,6926430057246280453,05/04/21,54,14500000,127100000,76,4907,127100000
6956256011195862277,6926430057246280453,05/04/21,4940,79100,4200000,887,71300,4200000
6956342823822118146,6926430057246280453,05/04/21,50,22200000,688400000,1212,4610,688400000
6934951167222959362,6926430057246280453,05/04/21,11,566000,6100000,88,2109,6100000
6938345426722802946,6926430057246280453,05/04/21,45,11300000,818600000,3398,25800,818600000
6954325698727218438,6926430057246280453,05/04/21,958,125800,5500000,870,80100,5500000
6954161740342955269,6926430057246280453,05/04/21,103,93800,4600000,229,56000,4600000
6957883838064348421,6926430057246280453,05/04/21,16,2900000,76100000,290,1740,76100000
6954505610780003589,6926430057246280453,05/04/21,35,211000,6100000,649,861,6100000
6957123300229139713,6926430057246280453,05/04/21,1,76000,2100000,110,5061,2100000
6956761944871144709,6926430057246280453,05/04/21,6,132100,2500000,208,1092,2500000
6930222160032075009,6926430057246280453,05/04/21,128,386200,20000000,771,4564,20000000
6956311001906171142,6926430057246280453,05/04/21,426,2900000,30100000,100,8176,30100000
6957470376821607686,6926430057246280453,05/04/21,642,1800000,91600000,369,33800,91600000
6950141078469201158,6926430057246280453,05/04/21,68,103000,822900,201,7094,822900
6955133093376199942,6926430057246280453,05/04/21,296,40100,3000000,215,22500,3000000
6953701638431427845,6926430057246280453,05/04/21,8,159900,3900000,469,2327,3900000
6955841936502705414,6926430057246280453,05/04/21,465,3700000,61100000,620,7862,61100000
6956207339221404933,6926430057246280453,05/04/21,364,2100000,48200000,511,1669,48200000
6957365746527751429,6926430057246280453,05/04/21,62,1100000,13100000,714,1569,13100000
6954190706881645829,6926430057246280453,05/04/21,239,11900000,166700000,443,13200,166700000
6955540294754503941,6926430057246280453,05/04/21,152,10000000,432700000,2053,10100,432700000
6956065542260264197,6926430057246280453,05/04/21,162,185900,54500000,1306,1132,54500000
6956635022220741893,6926430057246280453,05/04/21,40,2800000,76800000,70,376,76800000
6951223322327715078,6926430057246280453,05/04/21,15,45800,1100000,354,15200,1100000
6956041831721225477,6926430057246280453,05/04/21,2998,416600,5800000,207,6568,5800000
6957101351071386886,6926430057246280453,05/04/21,84,8800000,143700000,276,702,143700000
6954740994428423429,6926430057246280453,05/04/21,129,822700,24100000,480,5968,24100000
6958135567024409861,6926430057246280453,05/04/21,108,1100000,12600000,124,6708,12600000
6957139755331063045,6926430057246280453,05/04/21,3,4700000,186900000,1013,53500,186900000
6941391491633777921,6926430057246280453,05/04/21,4,163000,1300000,174,221,1300000
6955245193796865286,6926430057246280453,05/04/21,713,959500,71100000,2123,265500,71100000
6955534688920407301,6926430057246280453,05/04/21,55,286700,1800000,60,445,1800000
6954119557317430534,6926430057246280453,05/04/21,218,605300,13300000,330,2114,13300000
6941369156814130433,6926430057246280453,05/04/21,21,291800,2100000,403,675,2100000
6953048212005522693,6926430057246280453,05/04/21,73,45600,563800,114,1348,563800
6940627189587037441,6926430057246280453,05/04/21,15,925000,8500000,350,2251,8500000
6952932194620820741,6926430057246280453,05/04/21,378,816900,11500000,242,42100,11500000
6955681471742954758,6926430057246280453,05/04/21,416,3300000,224700000,1014,17400,224700000
6956360486896110854,6926430057246280453,05/04/21,135,6048,413300,39,9019,413300
6957776567472753925,6926430057246280453,05/04/21,438,6100000,407300000,2638,10800,407300000
6943211261651913986,6926430057246280453,05/04/21,6,83900,926800,181,400,926800
6929337317593287941,6926430057246280453,05/04/21,93,94100,1500000,544,30100,1500000
6953794475692985605,6926430057246280453,05/04/21,254,1200000,22800000,109,3358,22800000
6954792240766061829,6926430057246280453,05/04/21,9842,234400,8400000,881,18700,8400000
6956939472286043397,6956939305335933701,05/04/21,44,36100000,526900000,858,4410,526900000
6956975397544135938,6956939305335933701,05/04/21,1176,3843,48300,9,3009,48300
6957635923240652034,6956939305335933701,05/04/21,35,2300000,29300000,868,5426,29300000
6956950535488408837,6956939305335933701,05/04/21,44,230900,7900000,373,6452,7900000
6956991026753998082,6956939305335933701,05/04/21,611,27600,227200,103,38600,227200
6957059534137363717,6956939305335933701,05/04/21,2,538000,6700000,287,1457,6700000
6957467605905001733,6956939305335933701,05/04/21,9995,553200,11900000,302,1891,11900000
6957193566628187398,6956939305335933701,05/04/21,328,84400,494800,373,8553,494800
6957082088004734214,6956939305335933701,05/04/21,147,307800,4000000,816,2366,4000000
6957004867881798917,6956939305335933701,05/04/21,44,5105,55200,41,189,55200
6957034725991058693,6956939305335933701,05/04/21,41,122800,2200000,279,793,2200000
6956964043496164614,6956939305335933701,05/04/21,156,1000000,22300000,679,28500,22300000
6956995597769395462,6956939305335933701,05/04/21,85,15100,88000,311,14600,88000
